ligand,affinity
03_docking/out/F_pos006_out.pdbqt,-6.908
03_docking/out/F_pos002_out.pdbqt,-6.899
03_docking/out/OH_pos017_out.pdbqt,-6.492
03_docking/out/Cl_pos002_out.pdbqt,-6.490
03_docking/out/Me_pos017_out.pdbqt,-6.456
03_docking/out/F_pos000_out.pdbqt,-6.429
03_docking/out/OH_pos002_out.pdbqt,-6.400
03_docking/out/Me_pos002_out.pdbqt,-6.320
03_docking/out/F_pos001_out.pdbqt,-6.248
03_docking/out/F_pos008_out.pdbqt,-6.231
03_docking/out/Cl_pos006_out.pdbqt,-6.193
03_docking/out/F_pos017_out.pdbqt,-6.189
03_docking/out/NH2_pos017_out.pdbqt,-6.184
03_docking/out/Cl_pos001_out.pdbqt,-6.171
03_docking/out/OH_pos008_out.pdbqt,-6.169
03_docking/out/NH2_pos000_out.pdbqt,-6.113
03_docking/out/OH_pos001_out.pdbqt,-6.083
03_docking/out/OH_pos000_out.pdbqt,-6.038
03_docking/out/NH2_pos002_out.pdbqt,-6.028
03_docking/out/Me_pos006_out.pdbqt,-5.990
03_docking/out/NH2_pos001_out.pdbqt,-5.985
03_docking/out/F_pos007_out.pdbqt,-5.984
03_docking/out/OH_pos007_out.pdbqt,-5.895
03_docking/out/Cl_pos007_out.pdbqt,-5.894
03_docking/out/NH2_pos007_out.pdbqt,-5.852
03_docking/out/BASE_out.pdbqt,-5.823
03_docking/out/Me_pos008_out.pdbqt,-5.778
03_docking/out/Me_pos000_out.pdbqt,-5.751
03_docking/out/Cl_pos000_out.pdbqt,-5.735
03_docking/out/Me_pos007_out.pdbqt,-5.735
03_docking/out/Me_pos001_out.pdbqt,-5.706
03_docking/out/Cl_pos008_out.pdbqt,-5.682
03_docking/out/NH2_pos006_out.pdbqt,-5.647
03_docking/out/OH_pos006_out.pdbqt,-5.647
03_docking/out/NH2_pos008_out.pdbqt,-5.514
03_docking/out/Cl_pos017_out.pdbqt,-5.403
